Word,SegmentationA,SegmentationB,SegmentationC
alizukuzukubulalela,a-li-zuku-bulalel-a,a-li-zuku-bulalel-a,alizuku-bulalel-a
alizukuzukubusiswa,a-li-zuku-busisw-a,a-li-zuku-busisw-a,alizuku-busisw-a
alizukuzukucabangela,a-li-zuku-cabangel-a,a-li-zuku-cabangel-a,alizuku-cabangel-a
alizukuzukucanulwa,a-li-zuku-canulw-a,a-li-zuku-canulw-a,alizuku-canulw-a
alizukuzukucasulwa,a-li-zuku-casulw-a,a-li-zuku-casulw-a,alizuku-casulw-a
alizukuzukuchasisa,a-li-zuku-chasis-a,a-li-zuku-chasis-a,alizuku-chasis-a
alizukuzukuchitha,a-li-zuku-chith-a,a-li-zuku-chith-a,alizuku-chith-a
alizukuzukuchopha,a-li-zuku-choph-a,a-li-zuku-choph-a,alizuku-choph-a
alizukuzukuchwensa,a-li-zuku-chwens-a,a-li-zuku-chwens-a,alizuku-chwens-a
alizukuzukucishela,a-li-zuku-cishel-a,a-li-zuku-cishel-a,alizuku-cishel-a
alizukuzukucolisisa,a-li-zuku-colisis-a,a-li-zuku-colisis-a,alizuku-colisis-a
alizukuzukucwaningwa,a-li-zuku-cwaningw-a,a-li-zuku-cwaningw-a,alizuku-cwaningw-a
alizukuzukudabukela,a-li-zuku-dabukel-a,a-li-zuku-dabukel-a,alizuku-dabukel-a
alizukuzukudabukisa,a-li-zuku-dabukis-a,a-li-zuku-dabukis-a,alizuku-dabukis-a
alizukuzukudabula,a-li-zuku-dabul-a,a-li-zuku-dabul-a,alizuku-dabul-a
alizukuzukudayiswa,a-li-zuku-dayisw-a,a-li-zuku-dayisw-a,alizuku-dayisw-a
alizukuzukudedela,a-li-zuku-dedel-a,a-li-zuku-dedel-a,alizuku-dedel-a
alizukuzukudelela,a-li-zuku-delel-a,a-li-zuku-delel-a,alizuku-delel-a
alizukuzukudingwa,a-li-zuku-dingw-a,a-li-zuku-dingw-a,alizuku-dingw-a
alizukuzukudinsilwa,a-li-zuku-dinsilw-a,a-li-zuku-dinsilw-a,alizuku-dinsilw-a
alizukuzukudlisela,a-li-zuku-dlisel-a,a-li-zuku-dlisel-a,alizuku-dlisel-a
alizukuzukufekethisa,a-li-zuku-fekethis-a,a-li-zuku-fekethis-a,alizuku-fekethis-a
alizukuzukuficwa,a-li-zuku-ficw-a,a-li-zuku-ficw-a,alizuku-ficw-a
alizukuzukufihlwa,a-li-zuku-fihlw-a,a-li-zuku-fihlw-a,alizuku-fihlw-a
alizukuzukufingqa,a-li-zuku-fingq-a,a-li-zuku-fingq-a,alizuku-fingq-a
alizukuzukufulathelisa,a-li-zuku-fulathelis-a,a-li-zuku-fulathelis-a,alizuku-fulathelis-a
alizukuzukufulelwa,a-li-zuku-fulelw-a,a-li-zuku-fulelw-a,alizuku-fulelw-a
alizukuzukufumana,a-li-zuku-fuman-a,a-li-zuku-fuman-a,alizuku-fuman-a
alizukuzukufuna,a-li-zuku-fun-a,a-li-zuku-fun-a,alizuku-fun-a
alizukuzukufundisa,a-li-zuku-fundis-a,a-li-zuku-fundis-a,alizuku-fundis-a
alizukuzukufundiseka,a-li-zuku-fundisek-a,a-li-zuku-fundisek-a,alizuku-fundisek-a
alizukuzukufutha,a-li-zuku-futh-a,a-li-zuku-futh-a,alizuku-futh-a
alizukuzukugayisisa,a-li-zuku-gayisis-a,a-li-zuku-gayisis-a,alizuku-gayisis-a
alizukuzukugcizelela,a-li-zuku-gcizelel-a,a-li-zuku-gcizelel-a,alizuku-gcizelel-a
alizukuzukugcoba,a-li-zuku-gcob-a,a-li-zuku-gcob-a,alizuku-gcob-a
alizukuzukugcwala,a-li-zuku-gcwal-a,a-li-zuku-gcwal-a,alizuku-gcwal-a
alizukuzukugcwaliswa,a-li-zuku-gcwalisw-a,a-li-zuku-gcwalisw-a,alizuku-gcwalisw-a
alizukuzukugijima,a-li-zuku-gijim-a,a-li-zuku-gijim-a,alizuku-gijim-a
alizukuzukugoqela,a-li-zuku-goqel-a,a-li-zuku-goqel-a,alizuku-goqel-a
alizukuzukugqoka,a-li-zuku-gqok-a,a-li-zuku-gqok-a,alizuku-gqok-a
alizukuzukugqula,a-li-zuku-gqul-a,a-li-zuku-gqul-a,alizuku-gqul-a
alizukuzukugudluzela,a-li-zuku-gudluzel-a,a-li-zuku-gudluzel-a,alizuku-gudluzel-a
alizukuzukugwaqazisa,a-li-zuku-gwaqazis-a,a-li-zuku-gwaqazis-a,alizuku-gwaqazis-a
alizukuzukugwemeka,a-li-zuku-gwemek-a,a-li-zuku-gwemek-a,alizuku-gwemek-a
alizukuzukugwinyeka,a-li-zuku-gwinyek-a,a-li-zuku-gwinyek-a,alizuku-gwinyek-a
alizukuzukugxila,a-li-zuku-gxil-a,a-li-zuku-gxil-a,alizuku-gxil-a
alizukuzukugxuma,a-li-zuku-gxum-a,a-li-zuku-gxum-a,alizuku-gxum-a
alizukuzukuhaqwa,a-li-zuku-haqw-a,a-li-zuku-haqw-a,alizuku-haqw-a
alizukuzukuhayisa,a-li-zuku-hayis-a,a-li-zuku-hayis-a,alizuku-hayis-a
alizukuzukuhlahlana,a-li-zuku-hlahlan-a,a-li-zuku-hlahlan-a,alizuku-hlahlan-a
alizukuzukuhlangana,a-li-zuku-hlangan-a,a-li-zuku-hlangan-a,alizuku-hlangan-a
alizukuzukuhlanganisa,a-li-zuku-hlanganis-a,a-li-zuku-hlanganis-a,alizuku-hlanganis-a
alizukuzukuhlanyisa,a-li-zuku-hlanyis-a,a-li-zuku-hlanyis-a,alizuku-hlanyis-a
alizukuzukuhlehla,a-li-zuku-hlehl-a,a-li-zuku-hlehl-a,alizuku-hlehl-a
alizukuzukuhlekela,a-li-zuku-hlekel-a,a-li-zuku-hlekel-a,alizuku-hlekel-a
alizukuzukuhlinzeka,a-li-zuku-hlinzek-a,a-li-zuku-hlinzek-a,alizuku-hlinzek-a
alizukuzukuhlinzwa,a-li-zuku-hlinzw-a,a-li-zuku-hlinzw-a,alizuku-hlinzw-a
alizukuzukuhlolelwa,a-li-zuku-hlolelw-a,a-li-zuku-hlolelw-a,alizuku-hlolelw-a
alizukuzukuhlolisisa,a-li-zuku-hlolisis-a,a-li-zuku-hlolisis-a,alizuku-hlolisis-a
alizukuzukuhlolwa,a-li-zuku-hlolw-a,a-li-zuku-hlolw-a,alizuku-hlolw-a
alizukuzukuhlomula,a-li-zuku-hlomul-a,a-li-zuku-hlomul-a,alizuku-hlomul-a
alizukuzukuhlukumeza,a-li-zuku-hlukumez-a,a-li-zuku-hlukumez-a,alizuku-hlukumez-a
alizukuzukuhogela,a-li-zuku-hogel-a,a-li-zuku-hogel-a,alizuku-hogel-a
alizukuzukukhahla,a-li-zuku-khahl-a,a-li-zuku-khahl-a,alizuku-khahl-a
alizukuzukukhamisa,a-li-zuku-khamis-a,a-li-zuku-khamis-a,alizuku-khamis-a
alizukuzukukhanda,a-li-zuku-khand-a,a-li-zuku-khand-a,alizuku-khand-a
alizukuzukukhathazwa,a-li-zuku-khathazw-a,khona,alizuku-khathazw-a
alizukuzukukhawuleza,a-li-zuku-khawulez-a,a-li-zuku-khawulez-a,alizuku-khawulez-a
alizukuzukukhetha,a-li-zuku-kheth-a,a-li-zuku-kheth-a,alizuku-kheth-a
alizukuzukukhethwa,a-li-zuku-khethw-a,a-li-zuku-khethw-a,alizuku-khethw-a
alizukuzukukhipha,a-li-zuku-khiph-a,a-li-zuku-khiph-a,alizuku-khiph-a
alizukuzukukhuculula,a-li-zuku-khuculul-a,a-li-zuku-khuculul-a,alizuku-khuculul-a
alizukuzukukhulisela,a-li-zuku-khulisel-a,a-li-zuku-khulisel-a,alizuku-khulisel-a
alizukuzukukhunjuzwa,a-li-zuku-khunjuzw-a,a-li-zuku-khunjuzw-a,alizuku-khunjuzw-a
alizukuzukukhushulwa,a-li-zuku-khushulw-a,a-li-zuku-khushulw-a,alizuku-khushulw-a
alizukuzukukhuthala,a-li-zuku-khuthal-a,a-li-zuku-khuthal-a,alizuku-khuthal-a
alizukuzukukhuthazana,a-li-zuku-khuthazan-a,a-li-zuku-khuthazan-a,alizuku-khuthazan-a
alizukuzukulahla,a-li-zuku-lahl-a,a-li-zuku-lahl-a,alizuku-lahl-a
alizukuzukulahlekela,a-li-zuku-lahlekel-a,a-li-zuku-lahlekel-a,alizuku-lahlekel-a
alizukuzukulahlekelwa,a-li-zuku-lahlekelw-a,a-li-zuku-lahlekelw-a,alizuku-lahlekelw-a
alizukuzukulala,a-li-zuku-lal-a,a-li-zuku-lal-a,alizuku-lal-a
alizukuzukulamula,a-li-zuku-lamul-a,a-li-zuku-lamul-a,alizuku-lamul-a
alizukuzukulandisela,a-li-zuku-landisel-a,a-li-zuku-landisel-a,alizuku-landisel-a
alizukuzukulaza,a-li-zuku-laz-a,a-li-zuku-laz-a,alizuku-laz-a
alizukuzukuletha,a-li-zuku-leth-a,a-li-zuku-leth-a,alizuku-leth-a
alizukuzukulethwa,a-li-zuku-lethw-a,a-li-zuku-lethw-a,alizuku-lethw-a
alizukuzukulinganiselwa,a-li-zuku-linganiselw-a,a-li-zuku-linganiselw-a,alizuku-linganiselw-a
alizukuzukulingeka,a-li-zuku-lingek-a,a-li-zuku-lingek-a,alizuku-lingek-a
alizukuzukulobela,a-li-zuku-lobel-a,a-li-zuku-lobel-a,alizuku-lobel-a
alizukuzukulolonga,a-li-zuku-lolong-a,a-li-zuku-lolong-a,alizuku-lolong-a
alizukuzukulungisela,a-li-zuku-lungisel-a,a-li-zuku-lungisel-a,alizuku-lungisel-a
alizukuzukulutha,a-li-zuku-luth-a,a-li-zuku-luth-a,alizuku-luth-a
alizukuzukuma,a-li-zuku-m-a,a-li-zuku-m-a,alizuku-m-a
alizukuzukumamatheka,a-li-zuku-mamathek-a,a-li-zuku-mamathek-a,alizuku-mamathek-a
alizukuzukumangala,a-li-zuku-mangal-a,a-li-zuku-mangal-a,alizuku-mangal-a
alizukuzukumangalela,a-li-zuku-mangalel-a,a-li-zuku-mangalel-a,alizuku-mangalel-a
alizukuzukumbelwa,a-li-zuku-mbelw-a,a-li-zuku-mbelw-a,alizuku-mbelw-a
alizukuzukumboza,a-li-zuku-mboz-a,a-li-zuku-mboz-a,alizuku-mboz-a
alizukuzukuminza,a-li-zuku-minz-a,a-li-zuku-minz-a,alizuku-minz-a
alizukuzukumonyula,a-li-zuku-monyul-a,a-li-zuku-monyul-a,alizuku-monyul-a
alizukuzukumpompa,a-li-zuku-mpomp-a,a-li-zuku-mpomp-a,alizuku-mpomp-a
alizukuzukumukela,a-li-zuku-mukel-a,ama-basa,alizuku-mukel-a
alizukuzukunakekela,a-li-zuku-nakekel-a,a-li-zuku-nakekel-a,alizuku-nakekel-a
alizukuzukunamatha,a-li-zuku-namath-a,a-li-zuku-namath-a,alizuku-namath-a
alizukuzukunamathela,a-li-zuku-namathel-a,a-li-zuku-namathel-a,alizuku-namathel-a
alizukuzukunamathelisa,a-li-zuku-namathelis-a,a-li-zuku-namathelis-a,alizuku-namathelis-a
alizukuzukuncishwa,a-li-zuku-ncishw-a,a-li-zuku-ncishw-a,alizuku-ncishw-a
alizukuzukundizela,a-li-zuku-ndizel-a,a-li-zuku-ndizel-a,alizuku-ndizel-a
alizukuzukunengwa,a-li-zuku-nengw-a,obu-zo-yi-tshal-a-ni,alizuku-nengw-a
alizukuzukunika,a-li-zuku-nik-a,a-li-zuku-nik-a,alizuku-nik-a
alizukuzukunikeza,a-li-zuku-nikez-a,a-li-zuku-nikez-a,alizuku-nikez-a
alizukuzukunikezwa,a-li-zuku-nikezw-a,a-li-zuku-nikezw-a,alizuku-nikezw-a
alizukuzukuninga,a-li-zuku-ning-a,a-li-zuku-ning-a,alizuku-ning-a
alizukuzukunqanda,a-li-zuku-nqand-a,a-li-zuku-nqand-a,alizuku-nqand-a
alizukuzukunukela,a-li-zuku-nukel-a,a-li-zuku-nukel-a,alizuku-nukel-a
alizukuzukunyangwa,a-li-zuku-nyangw-a,a-li-zuku-nyangw-a,alizuku-nyangw-a
alizukuzukunyisa,a-li-zuku-nyis-a,a-li-zuku-nyis-a,alizuku-nyis-a
alizukuzukunyundelwa,a-li-zuku-nyundelw-a,a-li-zuku-nyundelw-a,alizuku-nyundelw-a
alizukuzukuphakamisa,a-li-zuku-phakamis-a,a-li-zuku-phakamis-a,alizuku-phakamis-a
alizukuzukuphana,a-li-zuku-phan-a,a-li-zuku-phan-a,alizuku-phan-a
alizukuzukuphasiswa,a-li-zuku-phasisw-a,a-li-zuku-phasisw-a,alizuku-phasisw-a
alizukuzukuphathwa,a-li-zuku-phathw-a,obu-nge-ko-m-bani,alizuku-phathw-a
alizukuzukuphawula,a-li-zuku-phawul-a,a-li-zuku-phawul-a,alizuku-phawul-a
alizukuzukuphenya,a-li-zuku-pheny-a,a-li-zuku-pheny-a,alizuku-pheny-a
alizukuzukuphethuka,a-li-zuku-phethuk-a,i-siko,alizuku-phethuk-a
alizukuzukuphila,a-li-zuku-phil-a,a-li-zuku-phil-a,alizuku-phil-a
alizukuzukuphinda,a-li-zuku-phind-a,a-li-zuku-phind-a,alizuku-phind-a
alizukuzukuphinga,a-li-zuku-phing-a,a-li-zuku-phing-a,alizuku-phing-a
alizukuzukuphoqelelwa,a-li-zuku-phoqelelw-a,a-li-zuku-phoqelelw-a,alizuku-phoqelelw-a
alizukuzukuphosela,a-li-zuku-phosel-a,a-li-zuku-phosel-a,alizuku-phosel-a
alizukuzukuphuma,a-li-zuku-phum-a,a-li-zuku-phum-a,alizuku-phum-a
alizukuzukuprofethwa,a-li-zuku-profethw-a,a-li-zuku-profethw-a,alizuku-profethw-a
alizukuzukuqala,a-li-zuku-qala,a-li-zuku-qala,alizuku-qala
alizukuzukuqaphela,a-li-zuku-qaphel-a,a-li-zuku-qaphel-a,alizuku-qaphel-a
alizukuzukuqashwa,a-li-zuku-qashw-a,a-li-zuku-qashw-a,alizuku-qashw-a
alizukuzukuqilizela,a-li-zuku-qilizel-a,a-li-zuku-qilizel-a,alizuku-qilizel-a
alizukuzukuqiniselwa,a-li-zuku-qiniselw-a,a-li-zuku-qiniselw-a,alizuku-qiniselw-a
alizukuzukuqubuka,a-li-zuku-qubuk-a,a-li-zuku-qubuk-a,alizuku-qubuk-a
alizukuzukuqula,a-li-zuku-qul-a,a-li-zuku-qul-a,alizuku-qul-a
alizukuzukusebenzela,a-li-zuku-sebenzel-a,a-li-zuku-sebenzel-a,alizuku-sebenzel-a
alizukuzukusekelwa,a-li-zuku-sekelw-a,a-li-zuku-sekelw-a,alizuku-sekelw-a
alizukuzukuselwa,a-li-zuku-selw-a,izin-hlolamvula,alizuku-selw-a
alizukuzukusesezwa,a-li-zuku-sesezw-a,a-li-zuku-sesezw-a,alizuku-sesezw-a
alizukuzukushayisa,a-li-zuku-shayis-a,a-li-zuku-shayis-a,alizuku-shayis-a
alizukuzukushintshana,a-li-zuku-shintshan-a,a-li-zuku-shintshan-a,alizuku-shintshan-a
alizukuzukushiyeka,a-li-zuku-shiyek-a,a-li-zuku-shiyek-a,alizuku-shiyek-a
alizukuzukushukumisa,a-li-zuku-shukumis-a,a-li-zuku-shukumis-a,alizuku-shukumis-a
alizukuzukusilalisa,a-li-zuku-silalis-a,a-li-zuku-silalis-a,alizuku-silalis-a
alizukuzukusingatha,a-li-zuku-singath-a,a-li-zuku-singath-a,alizuku-singath-a
alizukuzukusitheza,a-li-zuku-sithez-a,a-li-zuku-sithez-a,alizuku-sithez-a
alizukuzukusiza,a-li-zuku-siz-a,a-li-zuku-siz-a,alizuku-siz-a
alizukuzukusolela,a-li-zuku-solel-a,a-li-zuku-solel-a,alizuku-solel-a
alizukuzukusukuma,a-li-zuku-sukum-a,a-li-zuku-sukum-a,alizuku-sukum-a
alizukuzukuthabisa,a-li-zuku-thabis-a,a-li-zuku-thabis-a,alizuku-thabis-a
alizukuzukuthandazela,a-li-zuku-thandazel-a,a-li-zuku-thandazel-a,alizuku-thandazel-a
alizukuzukuthatha,a-li-zuku-thath-a,a-li-zuku-thath-a,alizuku-thath-a
alizukuzukuthena,a-li-zuku-then-a,a-li-zuku-then-a,alizuku-then-a
alizukuzukuthi,a-li-zuku-thi,a-li-zuku-thi,alizuku-thi
alizukuzukuthikamezeka,a-li-zuku-thikamezek-a,a-li-zuku-thikamezek-a,alizuku-thikamezek-a
alizukuzukuthoba,a-li-zuku-thob-a,a-li-zuku-thob-a,alizuku-thob-a
alizukuzukuthobela,a-li-zuku-thobel-a,a-li-zuku-thobel-a,alizuku-thobel-a
alizukuzukuthobisa,a-li-zuku-thobis-a,a-li-zuku-thobis-a,alizuku-thobis-a
alizukuzukuthokozela,a-li-zuku-thokozel-a,a-li-zuku-thokozel-a,alizuku-thokozel-a
alizukuzukuthola,a-li-zuku-thol-a,a-li-zuku-thol-a,alizuku-thol-a
alizukuzukuthotshelwa,a-li-zuku-thotshelw-a,a-li-zuku-thotshelw-a,alizuku-thotshelw-a
alizukuzukuthululwa,a-li-zuku-thululw-a,a-li-zuku-thululw-a,alizuku-thululw-a
alizukuzukuthunga,a-li-zuku-thung-a,a-li-zuku-thung-a,alizuku-thung-a
alizukuzukuthungatha,a-li-zuku-thungath-a,a-li-zuku-thungath-a,alizuku-thungath-a
alizukuzukuthuthukela,a-li-zuku-thuthukel-a,a-li-zuku-thuthukel-a,alizuku-thuthukel-a
alizukuzukutshalwa,a-li-zuku-tshalw-a,a-li-zuku-tshalw-a,alizuku-tshalw-a
alizukuzukutshela,a-li-zuku-tshel-a,a-li-zuku-tshel-a,alizuku-tshel-a
alizukuzukuvalela,a-li-zuku-valel-a,a-li-zuku-valel-a,alizuku-valel-a
alizukuzukuvalelisana,a-li-zuku-valelisan-a,a-li-zuku-valelisan-a,alizuku-valelisan-a
alizukuzukuvama,a-li-zuku-vam-a,a-li-zuku-vam-a,alizuku-vam-a
alizukuzukuveza,a-li-zuku-vez-a,a-li-zuku-vez-a,alizuku-vez-a
alizukuzukuvubukula,a-li-zuku-vubukul-a,a-li-zuku-vubukul-a,alizuku-vubukul-a
alizukuzukuvundulula,a-li-zuku-vundulul-a,a-li-zuku-vundulul-a,alizuku-vundulul-a
alizukuzukuvusa,a-li-zuku-vus-a,a-li-zuku-vus-a,alizuku-vus-a
alizukuzukuvuthulula,a-li-zuku-vuthulul-a,a-li-zuku-vuthulul-a,alizuku-vuthulul-a
alizukuzukuwungawunga,a-li-zuku-wungawung-a,a-li-zuku-wungawung-a,alizuku-wungawung-a
alizukuzukuxakwa,a-li-zuku-xakw-a,a-li-zuku-xakw-a,alizuku-xakw-a
alizukuzukuxazululwa,a-li-zuku-xazululw-a,a-li-zuku-xazululw-a,alizuku-xazululw-a
alizukuzukuxilongwa,a-li-zuku-xilongw-a,a-li-zuku-xilongw-a,alizuku-xilongw-a
alizukuzukuxina,a-li-zuku-xin-a,a-li-zuku-xin-a,alizuku-xin-a
alizukuzukuxingela,a-li-zuku-xingel-a,a-li-zuku-xingel-a,alizuku-xingel-a
alizukuzukuya,a-li-zuku-y-a,a-li-zuku-y-a,alizuku-y-a
alizukuzukuyabuza,a-li-zuku-yabuz-a,a-li-zuku-yabuz-a,alizuku-yabuz-a
alizukuzukuzama,a-li-zuku-zam-a,a-li-zuku-zam-a,alizuku-zam-a
alizukuzukuzavuzwa,a-li-zuku-zavuzw-a,a-li-zuku-zavuzw-a,alizuku-zavuzw-a
alizukuzukuzonda,a-li-zuku-zond-a,a-li-zuku-zond-a,alizuku-zond-a
alizukuzukuzondwa,a-li-zuku-zondw-a,a-li-zuku-zondw-a,alizuku-zondw-a
alizukuzukuzuzisa,a-li-zuku-zuzis-a,a-li-zuku-zuzis-a,alizuku-zuzis-a
alizukuzukuzwana,a-li-zuku-zwan-a,a-li-zuku-zwan-a,alizuku-zwan-a
alizukuzukuzwisisa,a-li-zuku-zwisis-a,a-li-zuku-zwisis-a,alizuku-zwisis-a
alizukwesasa,a-li-zu-kw-esas-a,a-li-zukw-esas-a-nomuntu,alizukw-esas-a
alizukwwepha,a-li-zu-kw-w-eph-a,a-li-zukw-w-eph-a,alizukw-w-eph-a
alizukwwephula,a-li-zu-kw-w-ephul-a,a-li-zukw-w-ephul-a,alizukw-w-ephul-a
alizukwwonda,a-li-zu-kw-w-ond-a,a-li-zukw-w-ond-a,alizukw-w-ond-a
alizukwzukwabuzela,a-li-zu-kw-abuzel-a,a-li-zukw-abuzel-a,alizukw-abuzel-a
alizukwzukwakha,a-li-zu-kw-akh-a,a-li-zukw-akh-a,alizukw-akh-a
alizukwzukwalela,a-li-zu-kw-alel-a,a-li-zukw-alel-a,alizukw-alel-a
alizukwzukwambulelwa,a-li-zu-kw-ambulelw-a,a-li-zukw-ambulelw-a,alizukw-ambulelw-a
alizukwzukwaphukela,a-li-zu-kw-aphukel-a,a-li-zukw-aphukel-a,alizukw-aphukel-a
alizukwzukwazeka,a-li-zu-kw-azek-a,a-li-zukw-azek-a,alizukw-azek-a
alizukwzukwazi,a-li-zu-kw-azi,a-li-zukw-azi,alizukw-azi
alizukwzukwebuka,a-li-zu-kw-ebuk-a,a-li-zukw-ebuk-a,alizukw-ebuk-a
alizukwzukwegcwala,a-li-zu-kw-egcwal-a,a-li-zukw-egcwal-a,alizukw-egcwal-a
alizukwzukwehlela,a-li-zu-kw-ehlel-a,a-li-zukw-ehlel-a,alizukw-ehlel-a
alizukwzukwehlisa,a-li-zu-kw-ehlis-a,a-li-zukw-ehlis-a,alizukw-ehlis-a
alizukwzukwejwayeleka,a-li-zu-kw-ejwayelek-a,a-li-zukw-ejwayelek-a,alizukw-ejwayelek-a
alizukwzukweleka,a-li-zu-kw-elek-a,a-li-zukw-elek-a,alizukw-elek-a
alizukwzukwembesa,a-li-zu-kw-embes-a,a-li-zukw-embes-a,alizukw-embes-a
alizukwzukwendlalwa,a-li-zu-kw-endlalw-a,a-li-zukw-endlalw-a,alizukw-endlalw-a
alizukwzukwenqaba,a-li-zu-kw-enqab-a,a-li-zukw-enqab-a,alizukw-enqab-a
alizukwzukwenza,a-li-zu-kw-enz-a,a-li-zukw-enz-a,alizukw-enz-a
alizukwzukwephuza,a-li-zu-kw-ephuz-a,a-li-zukw-ephuz-a,alizukw-ephuz-a
alizukwzukwesuka,a-li-zu-kw-esuk-a,a-li-zukw-esuk-a,alizukw-esuk-a
alizukwzukwesusa,a-li-zu-kw-esus-a,a-li-zukw-esus-a,alizukw-esus-a
alizukwzukwethamela,a-li-zu-kw-ethamel-a,a-li-zukw-ethamel-a,alizukw-ethamel-a
alizukwzukwethembana,a-li-zu-kw-ethemban-a,a-li-zukw-ethemban-a,alizukw-ethemban-a
alizukwzukwethembela,a-li-zu-kw-ethembel-a,a-li-zukw-ethembel-a,alizukw-ethembel-a
alizukwzukwethula,a-li-zu-kw-ethul-a,a-li-zukw-ethul-a,alizukw-ethul-a
alizukwzukwethulwa,a-li-zu-kw-ethulw-a,a-li-zukw-ethulw-a,alizukw-ethulw-a
alizukwzukwethwalwa,a-li-zu-kw-ethwalw-a,a-li-zukw-ethwalw-a,alizukw-ethwalw-a
alizukwzukwexabana,a-li-zu-kw-exaban-a,a-li-zukw-exaban-a,alizukw-exaban-a
alizukwzukwoma,a-li-zu-kw-om-a,a-li-zukw-om-a,alizukw-om-a
alizukwzukwomiswa,a-li-zu-kw-omisw-a,a-li-zukw-omisw-a,alizukw-omisw-a
alizumanga,a-li-zum-anga,ngo-ku-nga-finyelel-i,ali-zum-anga
alizungezwanga,a-li-zungezw-anga,izi-hlahla,ali-zungezw-anga
alolozela,a-lolozel-a,a-lolozel-a,izimiso
alolu,a-lolu,a-lolu-hlobo,a-lolu
alucwazimulanga,a-lu-cwazimul-anga,i-qhaza,alu-cwazimul-anga
aludinganga,a-lu-ding-anga,uku-nga-send-i,alu-ding-anga
aludiyanga,a-lu-diy-anga,a-lu-diy-anga-bani,alu-diy-anga
aluduma,a-lu-dum-a,a-lu-dum-a,luzo-ngenelel-a
alufihlekanga,a-lu-fihlek-anga,nga-ma-phoyisa,alu-fihlek-anga
alufuqwanga,a-lu-fuqw-anga,e-ku-nga-hlatshw-e-ni,alu-fuqw-anga
aluguqanga,a-lu-guq-anga,uku-nga-khafulel-i,alu-guq-anga
alugwaqanga,a-lu-gwaq-anga,uku-nga-sambathek-i,alu-gwaq-anga
aluhlumelela,a-lu-hlumelel-a,a-lu-hlumelel-a,ka-hle
alujiyile,a-lu-jiy-ile,nge-so,alu-jiy-ile
alukazukuzukusela,a-lu-ka-zuku-sel-a,a-lu-ka-zuku-sel-a,alukazuku-sel-a
alukuthulanga,a-lu-ku-thul-anga,a-lu-ku-thul-anga-nokulunga,alu-ku-thul-anga
alulahleka,a-lu-lahlek-a,a-lu-lahlek-a,zizoba
alulamisa,a-lulamis-a,a-lulamis-a,izindaba
aluleka,a-lulek-a,a-lulek-a,a-lulek-aa-m-a
alulilwa,a-lu-lilw-a,a-lu-lilw-a,amaningizimu
alulimaza,a-lu-limaz-a,a-lu-limaz-a,phakade
alumisela,a-lu-misel-a,a-lu-misel-a,uku-m-shayelek-a
alumjikelezanga,a-lu-m-jikelez-anga,ngo-ku-nga-wa-tetis-i,alu-m-jikelez-anga
alunge,a-lung-e,a-lung-e,a-lung-ea-phuphum-a
alungileyo,a-lung-ile-yo,a-lung-ile-yo-lisho,alung-ile-yo
alungisise,a-lungisis-e,a-lungisis-e-kumbe,alungisis-e
alupasanga,a-lu-pas-anga,uku-nga-langathelel-i,alu-pas-anga
aluthatha,a-lu-thath-a,a-lu-thath-a,kwa-li-phuthumis-a
aluve,a-lu-v-e,lu-y-indlala,alu-v-e
aluyindlala,a-lu-y-i-ndlala,namuhla,aluy-indlala
aluyukungcwaba,a-lu-yuku-ngcwab-a,a-lu-yuku-ngcwab-a-nomuntu,aluyuku-ngcwab-a
aluyukuyukubika,a-lu-yuku-bik-a,a-lu-yuku-bik-a,aluyuku-bik-a
aluyukuyukucwasa,a-lu-yuku-cwas-a,a-lu-yuku-cwas-a,aluyuku-cwas-a
aluyukuyukucwilisa,a-lu-yuku-cwilis-a,a-lu-yuku-cwilis-a,aluyuku-cwilis-a
aluyukuyukufuna,a-lu-yuku-fun-a,a-lu-yuku-fun-a,aluyuku-fun-a
aluyukuyukugqugquzelwa,a-lu-yuku-gqugquzelw-a,a-lu-yuku-gqugquzelw-a,aluyuku-gqugquzelw-a
aluyukuyukugweba,a-lu-yuku-gweb-a,a-lu-yuku-gweb-a,aluyuku-gweb-a
aluyukuyukuketula,a-lu-yuku-ketul-a,a-lu-yuku-ketul-a,aluyuku-ketul-a
aluyukuyukungenelisa,a-lu-yuku-ngenelis-a,a-lu-yuku-ngenelis-a,aluyuku-ngenelis-a
aluyukuyukunikezwa,a-lu-yuku-nikezw-a,a-lu-yuku-nikezw-a,aluyuku-nikezw-a
aluyukuyukuqathaka,a-lu-yuku-qathak-a,a-lu-yuku-qathak-a,aluyuku-qathak-a
aluyukuyukuqikelela,a-lu-yuku-qikelel-a,a-lu-yuku-qikelel-a,aluyuku-qikelel-a
aluyukuyukushushumbiswa,a-lu-yuku-shushumbisw-a,a-lu-yuku-shushumbisw-a,aluyuku-shushumbisw-a
aluyukuyukusibekela,a-lu-yuku-sibekel-a,a-lu-yuku-sibekel-a,aluyuku-sibekel-a
aluyukuyukusiswa,a-lu-yuku-sisw-a,a-lu-yuku-sisw-a,aluyuku-sisw-a
aluyukwwejwayelana,a-lu-yu-kw-w-ejwayelan-a,a-lu-yukw-w-ejwayelan-a,aluyukw-w-ejwayelan-a
aluyukwyukwazi,a-lu-yu-kw-azi,a-lu-yukw-azi,aluyukw-azi
aluyukwyukwenza,a-lu-yu-kw-enz-a,a-lu-yukw-enz-a,aluyukw-enz-a
